id;start_date;end_date;language
1;2019-09-20T07:12:30;2019-09-20T00:20:47;SPANISH
2;2019-09-20T08:42:35;2019-09-19T17:48:45;FRENCH
3;2019-09-20T04:14:40;2019-09-19T19:38:40;FRENCH
4;2019-09-19T17:26:31;2019-09-20T00:53:33;FRENCH
5;2019-09-20T02:25:10;2019-09-20T07:09:19;FRENCH
6;2019-09-20T08:42:11;2019-09-20T09:59:07;FRENCH
7;2019-09-19T18:04:30;2019-09-20T06:45:17;FRENCH
8;2019-09-19T15:35:49;2019-09-19T23:35:58;ENGLISH
9;2019-09-20T01:23:55;2019-09-20T09:48:33;ENGLISH
10;2019-09-20T04:42:05;2019-09-20T01:58:19;ENGLISH
